prompt,intent
can you show sleep stats,open_sleep_tracker
uh sleep report,open_sleep_tracker
can you i need an alarm,open_alarm
email friend,open_mail
please can you call doctor,open_call
can you play some songs,open_music
hey camera mode,open_camera
begin jogging,open_running
please i need an alarm,open_alarm
hmm send an email,open_mail
hey open camera,open_camera
hey play audio,open_music
can you i want music audio,open_music
hmm need camera quickly camera,open_camera
hmm i need an alarm,open_alarm
click a photo snap,open_camera
hmm begin jogging,open_running
begin jogging,open_running
put on songs,open_music
can you call brother,open_call
quickly make a phone call,open_call
can you take a picture,open_camera
uh please make a call phone,open_call
write an email,open_mail
how much water did i drink,open_water_tracker
hmm show bedtime tracking sleep stats,open_sleep_tracker
how much water did i drink,open_water_tracker
put on songs,open_music
hey set a timer,open_alarm
put on songs,open_music
please check my inbox,open_mail
measure my running distance,open_running
hey mail section please,open_mail
please open torch,open_flashlight
quickly track my sleep,open_sleep_tracker
can you show sleep stats,open_sleep_tracker
quickly click a photo,open_camera
camera mode selfie,open_camera
click a photo,open_camera
how much water did i drink hydration,open_water_tracker
hey log my water hydration,open_water_tracker
quickly open camera,open_camera
hmm need camera quickly,open_camera
need some music,open_music
turn on flash,open_flashlight
open calculator,open_calculator
hey log my water,open_water_tracker
uh turn on flash,open_flashlight
can you camera mode,open_camera
uh sleep report,open_sleep_tracker
quickly can you call office,open_call
hey sleep report,open_sleep_tracker
can you water tracking section,open_water_tracker
track my run,open_running
need to call someone,open_call
check sleep duration,open_sleep_tracker
please i want to go for a run,open_running
please open calculator math,open_calculator
start camera selfie,open_camera
hey turn on flashlight,open_flashlight
put on songs,open_music
can you click a photo picture,open_camera
uh check sleep duration sleep quality,open_sleep_tracker
play music,open_music
can you i want to send mail to sir inbox,open_mail
hmm monitor sleep quality bedtime,open_sleep_tracker
contact brother dial,open_call
start jog session,open_running
hmm turn on flashlight,open_flashlight
quickly put on songs,open_music
hmm help me do math,open_calculator
hey i want to take a selfie,open_camera
hmm i want music audio,open_music
switch on phone light,open_flashlight
hey start timer,open_alarm
calculate something,open_calculator
can you calculator please,open_calculator
hmm solve this equation,open_calculator
set alarm for 6 am,open_alarm
hey show sleep stats sleep,open_sleep_tracker
uh track my run,open_running
calculator please,open_calculator
can you start playlist,open_music
check sleep duration,open_sleep_tracker
i need an alarm reminder,open_alarm
hmm measure my running distance distance,open_running
calculator please,open_calculator
please show sleep stats sleep stats,open_sleep_tracker
uh track my run distance,open_running
uh call office call,open_call
can you show bedtime tracking,open_sleep_tracker
hey need calculator quickly,open_calculator
set alarm for 30 minutes,open_alarm
hmm wake me at 6 am,open_alarm
please open torch light,open_flashlight
hey hydration tracker,open_water_tracker
hey dial doctor,open_call
hey contact rahul,open_call
quickly click a photo,open_camera
uh start camera photo,open_camera
can you start jog session run,open_running
can you mail section please,open_mail
uh take a picture,open_camera
uh open torch,open_flashlight
running mode,open_running
need camera quickly,open_camera
hey need flashlight torch,open_flashlight
please start timer,open_alarm
can you call office,open_call
quickly make it brighter,open_flashlight
hmm play audio,open_music
uh sleep tracking section,open_sleep_tracker
start running running,open_running
uh record water intake,open_water_tracker
email manager,open_mail
uh open music player,open_music
please put on songs,open_music
calculator please calculate,open_calculator
alarm section please,open_alarm
quickly email team,open_mail
please open inbox,open_mail
please running mode running,open_running
wake me at 6 am,open_alarm
please put on songs,open_music
can you open alarm alarm,open_alarm
hey i want to go for a run,open_running
water tracking section hydration,open_water_tracker
open alarm,open_alarm
can you call mom calling,open_call
can you set alarm for 6 am reminder,open_alarm
quickly phone office,open_call
hey start running,open_running
please start playlist playlist,open_music
send an email,open_mail
measure my running distance,open_running
can you how much water did i drink,open_water_tracker
quickly calculate 100 divided by 4,open_calculator
play music,open_music
click a photo,open_camera
solve this equation,open_calculator
hmm call dad,open_call
please set a timer,open_alarm
can you i want music,open_music
can you dial friend,open_call
hey calculator please,open_calculator
track water intake water,open_water_tracker
uh set alarm for tomorrow morning timer,open_alarm
hey call office,open_call
hey i want to call dad,open_call
switch on phone light,open_flashlight
can you need some music,open_music
quickly compose a mail,open_mail
i want music playlist,open_music
hmm water tracking section,open_water_tracker
hey running mode jog,open_running
can you monitor sleep quality,open_sleep_tracker
please dial sir calling,open_call
need camera quickly snap,open_camera
uh start timer alarm,open_alarm
please i want to call brother,open_call
quickly calculator please calculator,open_calculator
play audio,open_music
play music playlist,open_music
hey i want to take a selfie,open_camera
quickly start running,open_running
set a timer,open_alarm
can you log my water,open_water_tracker
click a photo,open_camera
sleep tracking section,open_sleep_tracker
uh play music,open_music
i need an alarm,open_alarm
set alarm for tomorrow morning,open_alarm
uh open alarm,open_alarm
write an email,open_mail
uh turn on flashlight flash,open_flashlight
hmm open music player,open_music
uh switch on phone light,open_flashlight
set alarm for 6 am reminder,open_alarm
hey alarm section please,open_alarm
hmm track water intake,open_water_tracker
quickly start playlist,open_music
can you measure my running distance,open_running
uh track my run,open_running
uh help me do math calculator,open_calculator
quickly sleep report,open_sleep_tracker
can you call brother,open_call
hey i want to take a selfie snap,open_camera
calculator please calculator,open_calculator
hmm play some songs playlist,open_music
please mail section please,open_mail
click a photo snap,open_camera
compose a mail,open_mail
start camera,open_camera
make it brighter torch,open_flashlight
hmm need to call someone,open_call
hmm sleep report,open_sleep_tracker
quickly set alarm for 10 minutes,open_alarm
phone doctor,open_call
uh play audio,open_music
start timer,open_alarm
quickly click a photo,open_camera
please camera mode,open_camera
uh phone brother,open_call
quickly can you call mom,open_call
uh make it brighter,open_flashlight
quickly wake me at 10 minutes,open_alarm
quickly set a timer,open_alarm
need some music,open_music
uh camera mode,open_camera
hmm open camera,open_camera
uh make a phone call,open_call
alarm section please,open_alarm
uh play music,open_music
please alarm section please,open_alarm
please track water intake,open_water_tracker
email team,open_mail
need camera quickly selfie,open_camera
hey wake me at 10 minutes,open_alarm
calculate something,open_calculator
hmm monitor sleep quality,open_sleep_tracker
hey open alarm,open_alarm
hmm make it brighter,open_flashlight
uh open calculator,open_calculator
open torch,open_flashlight
help me do math,open_calculator
uh water tracking section,open_water_tracker
uh flashlight please,open_flashlight
hey check sleep duration sleep quality,open_sleep_tracker
quickly turn on flashlight,open_flashlight
log my water,open_water_tracker
hmm turn on flashlight,open_flashlight
hey email team,open_mail
quickly check sleep duration,open_sleep_tracker
calculate something,open_calculator
hmm wake me at 7 am,open_alarm
check sleep duration,open_sleep_tracker
hmm switch on phone light,open_flashlight
log my water,open_water_tracker
can you camera mode,open_camera
uh i want to send mail to manager,open_mail
can you need camera quickly,open_camera
can you please make a call,open_call
hey play audio music,open_music
show bedtime tracking sleep,open_sleep_tracker
sleep tracking section,open_sleep_tracker
please need to call someone calling,open_call
can you record water intake,open_water_tracker
put on songs track,open_music
write an email,open_mail
can you lets go jogging,open_running
camera mode,open_camera
uh set alarm for 10 minutes,open_alarm
play some songs,open_music
measure my running distance distance,open_running
can you sleep report sleep,open_sleep_tracker
show bedtime tracking,open_sleep_tracker
hmm capture image,open_camera
uh can you call rahul,open_call
uh compose a mail,open_mail
hmm open alarm,open_alarm
uh i want to call brother,open_call
quickly i want to take a selfie,open_camera
start running,open_running
uh open music player,open_music
uh open inbox,open_mail
capture image,open_camera
uh capture image,open_camera
hydration tracker,open_water_tracker
hey take a picture,open_camera
uh track my run,open_running
quickly begin jogging,open_running
please make a call,open_call
hmm check sleep duration,open_sleep_tracker
can you alarm section please alarm,open_alarm
need camera quickly,open_camera
need camera quickly,open_camera
make it brighter,open_flashlight
can you log my water,open_water_tracker
start camera snap,open_camera
measure my running distance distance,open_running
can you track my sleep,open_sleep_tracker
uh turn on flashlight,open_flashlight
uh need some music playlist,open_music
need camera quickly picture,open_camera
start camera,open_camera
hey open calling section,open_call
compose a mail,open_mail
quickly phone sir,open_call
start jog session,open_running
quickly open music player,open_music
quickly begin jogging,open_running
please send an email,open_mail
i need an alarm,open_alarm
quickly alarm section please alarm,open_alarm
can you open music player,open_music
check my inbox,open_mail
uh flashlight please,open_flashlight
make a phone call,open_call
please show bedtime tracking,open_sleep_tracker
switch on phone light,open_flashlight
hmm need camera quickly,open_camera
quickly sleep tracking section,open_sleep_tracker
hey mail section please,open_mail
hmm send an email,open_mail
quickly please make a call,open_call
monitor sleep quality sleep,open_sleep_tracker
hey log my water,open_water_tracker
please make a call,open_call
hey put on songs,open_music
hey open inbox,open_mail
uh open calculator,open_calculator
quickly open calling section contact,open_call
lets go jogging,open_running
need to call someone,open_call
quickly email friend,open_mail
i want to take a selfie,open_camera
uh please make a call,open_call
hey open calculator calculate,open_calculator
open torch,open_flashlight
quickly please make a call,open_call
hey phone office,open_call
hmm open inbox,open_mail
hmm help me do math,open_calculator
please make a call,open_call
send an email,open_mail
uh need flashlight,open_flashlight
can you write an email,open_mail
play some songs,open_music
hey make it brighter torch,open_flashlight
hmm compose a mail,open_mail
can you send an email,open_mail
please i want to take a selfie,open_camera
uh send an email inbox,open_mail
can you log my water,open_water_tracker
i want music,open_music
please capture image,open_camera
alarm section please,open_alarm
start running,open_running
please show bedtime tracking,open_sleep_tracker
mail section please,open_mail
hmm water tracking section,open_water_tracker
uh put on songs music,open_music
please wake me at 7 am,open_alarm
hmm turn on flash,open_flashlight
hydration tracker,open_water_tracker
send an email,open_mail
email professor,open_mail
can you please make a call,open_call
quickly solve this equation,open_calculator
water tracking section,open_water_tracker
hey check my inbox,open_mail
hmm make it brighter,open_flashlight
i want to go for a run,open_running
uh open torch,open_flashlight
hmm click a photo,open_camera
hey measure my running distance,open_running
can you write an email,open_mail
can you make it brighter,open_flashlight
hey send an email,open_mail
can you sleep report sleep quality,open_sleep_tracker
alarm section please,open_alarm
please switch on phone light,open_flashlight
track my run,open_running
please check sleep duration,open_sleep_tracker
hey play some songs,open_music
start running,open_running
hmm water tracking section,open_water_tracker
hmm make a phone call,open_call
quickly hydration tracker,open_water_tracker
start timer wake,open_alarm
hmm running mode,open_running
hmm send an email,open_mail
uh i need an alarm,open_alarm
hmm play some songs,open_music
quickly put on songs,open_music
uh start playlist audio,open_music
quickly i want music,open_music
uh track water intake,open_water_tracker
start camera,open_camera
uh check my inbox,open_mail
uh start camera,open_camera
please start camera,open_camera
hmm measure my running distance,open_running
quickly need flashlight,open_flashlight
hmm track my run,open_running
can you open torch,open_flashlight
quickly show sleep stats,open_sleep_tracker
please phone rahul,open_call
hey start timer,open_alarm
uh calculate 55 plus 10,open_calculator
check sleep duration sleep stats,open_sleep_tracker
hmm i want music,open_music
quickly need to call someone,open_call
can you capture image,open_camera
track my sleep,open_sleep_tracker
open inbox,open_mail
quickly calculate 20 times 7,open_calculator
play some songs,open_music
open inbox,open_mail
contact dad contact,open_call
can you click a photo,open_camera
hmm play music,open_music
dial rahul,open_call
hey lets go jogging,open_running
set a timer alarm,open_alarm
can you track water intake,open_water_tracker
uh help me do math calculator,open_calculator
need some music,open_music
hey calculate 55 plus 10,open_calculator
begin jogging,open_running
please set a timer,open_alarm
uh dial friend,open_call
running mode,open_running
uh make it brighter,open_flashlight
please write an email inbox,open_mail
can you call mom ring,open_call
start playlist track,open_music
begin jogging,open_running
hmm need camera quickly,open_camera
uh solve this equation,open_calculator
uh put on songs,open_music
compose a mail,open_mail
can you calculate something,open_calculator
please play audio,open_music
hmm need some music,open_music
quickly i want to send mail to team,open_mail
phone mom,open_call
quickly please make a call,open_call
click a photo,open_camera
turn on flash flash,open_flashlight
track water intake hydration,open_water_tracker
can you begin jogging,open_running
make it brighter,open_flashlight
can you start playlist,open_music
dial sir,open_call
can you sleep tracking section,open_sleep_tracker
quickly water tracking section water,open_water_tracker
please play some songs,open_music
quickly wake me at 7 am alarm,open_alarm
can you camera mode,open_camera
can you take a picture,open_camera
uh i want to send mail to team,open_mail
uh hydration tracker,open_water_tracker
please open calculator,open_calculator
water tracking section,open_water_tracker
turn on flash,open_flashlight
monitor sleep quality sleep stats,open_sleep_tracker
hmm start playlist,open_music
hmm wake me at 10 minutes,open_alarm
can you open calling section,open_call
i want to send mail to office,open_mail
can you set alarm for 7 am,open_alarm
please need to call someone calling,open_call
quickly set alarm for 10 minutes,open_alarm
uh begin jogging,open_running
hey open calculator,open_calculator
uh need some music,open_music
please i want to take a selfie camera,open_camera
can you email friend email,open_mail
i want to call friend,open_call
quickly hydration tracker,open_water_tracker
sleep report,open_sleep_tracker
can you calculate something,open_calculator
help me do math math,open_calculator
open camera,open_camera
can you put on songs,open_music
need calculator quickly,open_calculator
can you solve this equation,open_calculator
hmm turn on flashlight,open_flashlight
can you click a photo snap,open_camera
phone brother,open_call
can you make it brighter,open_flashlight
can you show sleep stats,open_sleep_tracker
please sleep report,open_sleep_tracker
uh i need an alarm,open_alarm
can you i need an alarm reminder,open_alarm
turn on flashlight,open_flashlight
dial rahul,open_call
check sleep duration sleep quality,open_sleep_tracker
quickly open alarm,open_alarm
sleep tracking section,open_sleep_tracker
can you calculate something,open_calculator
quickly monitor sleep quality,open_sleep_tracker
start timer,open_alarm
quickly set alarm for 10 minutes timer,open_alarm
hmm contact sir,open_call
quickly start jog session,open_running
sleep tracking section sleep stats,open_sleep_tracker
hey play music,open_music
uh start jog session,open_running
hey take a picture,open_camera
hmm turn on flashlight,open_flashlight
measure my running distance,open_running
open torch,open_flashlight
uh calculate something,open_calculator
hmm start jog session jog,open_running
please phone dad contact,open_call
make it brighter,open_flashlight
uh click a photo selfie,open_camera
play some songs audio,open_music
please i want to take a selfie,open_camera
quickly need flashlight,open_flashlight
can you record water intake,open_water_tracker
uh camera mode,open_camera
hey show sleep stats,open_sleep_tracker
flashlight please,open_flashlight
hmm turn on flash,open_flashlight
hmm open inbox,open_mail
i need an alarm,open_alarm
can you open calculator,open_calculator
hmm start camera,open_camera
hmm wake me at 7 am,open_alarm
quickly make a phone call contact,open_call
can you i want music,open_music
hey check sleep duration,open_sleep_tracker
how much water did i drink,open_water_tracker
compose a mail,open_mail
hmm dial doctor,open_call
start running jog,open_running
i want to send mail to team,open_mail
hmm open alarm,open_alarm
uh open calculator math,open_calculator
log my water,open_water_tracker
hey mail section please,open_mail
record water intake drink,open_water_tracker
play audio,open_music
quickly switch on phone light,open_flashlight
turn on flash torch,open_flashlight
wake me at tomorrow morning,open_alarm
hmm start jog session,open_running
log my water hydration,open_water_tracker
hey open calling section,open_call
open inbox email,open_mail
i want music,open_music
hmm calculate something,open_calculator
can you write an email inbox,open_mail
uh start jog session,open_running
alarm section please,open_alarm
uh please make a call,open_call
quickly i want to send mail to office,open_mail
hmm need some music playlist,open_music
quickly start jog session,open_running
hmm need camera quickly,open_camera
quickly make it brighter,open_flashlight
open calculator equation,open_calculator
hey open torch,open_flashlight
quickly compose a mail compose,open_mail
open alarm,open_alarm
hey play some songs song,open_music
phone dad,open_call
hey track water intake,open_water_tracker
uh capture image camera,open_camera
please open camera photo,open_camera
i need an alarm timer,open_alarm
uh put on songs,open_music
uh solve this equation equation,open_calculator
can you email professor,open_mail
uh log my water water,open_water_tracker
hey i want music playlist,open_music
i want to call sir phone,open_call
please mail section please,open_mail
please need camera quickly,open_camera
can you need camera quickly,open_camera
quickly check my inbox,open_mail
camera mode,open_camera
please take a picture,open_camera
put on songs,open_music
track my run pace,open_running
mail section please,open_mail
hmm check sleep duration sleep stats,open_sleep_tracker
capture image,open_camera
calculate 100 divided by 4,open_calculator
uh play audio,open_music
hmm start timer wake,open_alarm
turn on flash,open_flashlight
can you call friend,open_call
uh make it brighter flash,open_flashlight
uh set a timer,open_alarm
hey measure my running distance,open_running
camera mode picture,open_camera
put on songs song,open_music
hey need camera quickly,open_camera
please put on songs,open_music
hmm need flashlight,open_flashlight
uh hydration tracker,open_water_tracker
need some music music,open_music
quickly need flashlight,open_flashlight
solve this equation,open_calculator
can you water tracking section,open_water_tracker
hmm lets go jogging,open_running
check sleep duration,open_sleep_tracker
make it brighter,open_flashlight
can you play some songs,open_music
uh show sleep stats,open_sleep_tracker
can you open alarm,open_alarm
please log my water drink,open_water_tracker
please need calculator quickly calculator,open_calculator
open torch,open_flashlight
can you flashlight please,open_flashlight
can you running mode,open_running
i want to take a selfie,open_camera
please need to call someone,open_call
quickly call dad contact,open_call
uh i want to take a selfie,open_camera
start playlist,open_music
hmm open calling section,open_call
quickly check sleep duration sleep,open_sleep_tracker
can you calculate something,open_calculator
calculate something math,open_calculator
quickly i need an alarm,open_alarm
please calculator please,open_calculator
quickly send an email,open_mail
hey start jog session,open_running
can you help me do math,open_calculator
can you i want music,open_music
can you call friend contact,open_call
uh turn on flashlight,open_flashlight
hey measure my running distance distance,open_running
hmm open camera,open_camera
hmm i want to send mail to sir,open_mail
uh start jog session,open_running
please email professor,open_mail
open inbox compose,open_mail
hey put on songs,open_music
click a photo,open_camera
send an email,open_mail
quickly contact doctor,open_call
hmm need some music,open_music
need camera quickly,open_camera
please open alarm,open_alarm
hey contact rahul call,open_call
hey need to call someone phone,open_call
uh help me do math,open_calculator
take a picture,open_camera
please call mom call,open_call
quickly open torch,open_flashlight
hmm open alarm,open_alarm
sleep report,open_sleep_tracker
hmm calculate 20 times 7,open_calculator
open music player song,open_music
please lets go jogging,open_running
hmm running mode,open_running
hey solve this equation,open_calculator
please check my inbox,open_mail
please i want to go for a run,open_running
uh begin jogging,open_running
hmm start running run,open_running
switch on phone light,open_flashlight
i need an alarm,open_alarm
quickly alarm section please,open_alarm
hey i want to call mom,open_call
contact brother,open_call
can you put on songs music,open_music
calculate 100 divided by 4,open_calculator
hey flashlight please light,open_flashlight
uh i want to go for a run,open_running
hey open music player,open_music
i need an alarm timer,open_alarm
can you play some songs,open_music
please need camera quickly,open_camera
need camera quickly,open_camera
record water intake water,open_water_tracker
uh calculate something,open_calculator
please show bedtime tracking,open_sleep_tracker
hmm mail section please compose,open_mail
lets go jogging,open_running
hmm take a picture,open_camera
set a timer,open_alarm
uh turn on flash,open_flashlight
please i want to take a selfie,open_camera
how much water did i drink drink,open_water_tracker
open calling section,open_call
hey log my water,open_water_tracker
please sleep tracking section,open_sleep_tracker
quickly capture image,open_camera
i need an alarm,open_alarm
hey make it brighter torch,open_flashlight
please can you call rahul,open_call
please show bedtime tracking,open_sleep_tracker
hey open calculator,open_calculator
please i need an alarm,open_alarm
start timer reminder,open_alarm
can you send an email,open_mail
please please make a call,open_call
hey open alarm reminder,open_alarm
hmm need flashlight,open_flashlight
start running,open_running
dial brother,open_call
set alarm for 10 minutes,open_alarm
hey sleep report,open_sleep_tracker
contact office,open_call
can you flashlight please,open_flashlight
please take a picture,open_camera
record water intake,open_water_tracker
quickly hydration tracker water,open_water_tracker
track my sleep sleep quality,open_sleep_tracker
quickly switch on phone light,open_flashlight
uh start playlist,open_music
please calculator please equation,open_calculator
quickly i want music,open_music
uh dial mom,open_call
uh open torch,open_flashlight
set alarm for 10 minutes timer,open_alarm
can you make it brighter,open_flashlight
hey wake me at 6 am,open_alarm
can you dial sir,open_call
uh track my sleep,open_sleep_tracker
call mom,open_call
please sleep report,open_sleep_tracker
need flashlight,open_flashlight
hmm open calculator,open_calculator
please track my sleep sleep quality,open_sleep_tracker
hmm i need an alarm,open_alarm
hey open camera,open_camera
open alarm,open_alarm
open torch,open_flashlight
email friend,open_mail
can you solve this equation,open_calculator
uh solve this equation calculate,open_calculator
please open calling section ring,open_call
how much water did i drink,open_water_tracker
hey how much water did i drink,open_water_tracker
hey calculate something,open_calculator
hmm flashlight please,open_flashlight
take a picture,open_camera
uh open music player,open_music
hmm turn on flashlight,open_flashlight
quickly lets go jogging,open_running
can you i want to call mom,open_call
mail section please,open_mail
hmm track my sleep sleep stats,open_sleep_tracker
take a picture,open_camera
put on songs,open_music
wake me at 30 minutes,open_alarm
uh compose a mail,open_mail
uh camera mode snap,open_camera
please i need an alarm,open_alarm
make it brighter torch,open_flashlight
quickly can you call dad,open_call
track water intake,open_water_tracker
call rahul,open_call
hmm need some music,open_music
uh start running,open_running
need calculator quickly,open_calculator
uh mail section please email,open_mail
uh switch on phone light,open_flashlight
hey begin jogging,open_running
set alarm for 30 minutes alarm,open_alarm
lets go jogging running,open_running
help me do math,open_calculator
contact office,open_call
quickly track my run,open_running
